food_name,category,serving,calories,protein_g,fat_g,carbs_g,fiber_g,vitamin_a_mcg,vitamin_c_mg,vitamin_d_mcg,calcium_mg,iron_mg,potassium_mg,vitamin_b12_mcg,zinc_mg
Spinach,vegetable,1 cup raw,7,0.9,0.1,1.1,0.7,469,8.4,0,30,0.8,167,0,0.2
Kale,vegetable,1 cup raw,33,2.2,0.6,6.7,1.3,206,80,0,179,1.1,296,0,0.3
Broccoli,vegetable,1 cup raw,31,2.6,0.3,6,2.4,31,81,0,43,0.7,288,0,0.4
Sweet Potato,vegetable,1 medium,103,2.3,0.1,24,3.8,1096,19.6,0,38,0.7,438,0,0.3
Carrot,vegetable,1 medium,25,0.6,0.1,5.8,1.7,509,3.6,0,20,0.2,195,0,0.1
Bell Pepper Red,vegetable,1 medium,31,1,0.3,6,2.1,157,152,0,7,0.3,211,0,0.3
Tomato,vegetable,1 medium,22,1.1,0.2,4.8,1.5,42,17,0,12,0.3,292,0,0.2
Salmon,fish,3 oz cooked,177,17,11.4,0,0,10,0,14.2,9,0.3,326,2.4,0.4
Tuna,fish,3 oz canned,109,20,2.5,0,0,6,0,1.7,3,0.6,176,2.5,0.6
Sardines,fish,3 oz canned,177,21,9.7,0,0,13,0,4.1,325,2.5,338,8.9,1.3
Chicken Breast,meat,3 oz cooked,128,26,2.7,0,0,6,0,0.1,11,0.4,220,0.3,0.9
Beef Lean,meat,3 oz cooked,170,26,7,0,0,0,0,0.1,6,2.6,270,2.1,5.3
Eggs,protein,1 large,72,6.3,5,0.4,0,80,0,1.1,28,0.9,69,0.6,0.6
Greek Yogurt,dairy,1 cup,100,17,0.7,6,0,0,0,0,187,0.1,240,1.3,0.7
Milk Whole,dairy,1 cup,149,8,8,12,0,68,0,3.2,276,0.1,322,1.1,1
Cheese Cheddar,dairy,1 oz,113,7,9.3,0.4,0,75,0,0.3,200,0.2,21,0.2,0.9
Orange,fruit,1 medium,62,1.2,0.2,15.4,3.1,14,70,0,52,0.1,237,0,0.1
Banana,fruit,1 medium,105,1.3,0.4,27,3.1,4,10.3,0,6,0.3,422,0,0.2
Blueberries,fruit,1 cup,84,1.1,0.5,21.4,3.6,3,14.4,0,9,0.4,114,0,0.2
Avocado,fruit,1 medium,240,3,22,12.8,10,7,12,0,18,0.8,690,0,0.9
Strawberries,fruit,1 cup,49,1,0.5,11.7,3,1,89.4,0,24,0.6,233,0,0.2
Almonds,nuts,1 oz,164,6,14.2,6.1,3.5,0,0,0,76,1.1,208,0,0.9
Walnuts,nuts,1 oz,185,4.3,18.5,3.9,1.9,0,0.4,0,28,0.8,125,0,0.9
Lentils,legume,1 cup cooked,230,17.9,0.8,39.9,15.6,8,3,0,38,6.6,731,0,2.5
Chickpeas,legume,1 cup cooked,269,14.5,4.2,45,12.5,1,2.1,0,80,4.7,477,0,2.5
Quinoa,grain,1 cup cooked,222,8.1,3.6,39.4,5.2,0,0,0,31,2.8,318,0,2
Brown Rice,grain,1 cup cooked,218,4.5,1.6,45.8,3.5,0,0,0,20,1,154,0,1.2
Oats,grain,1 cup cooked,158,5.9,2.8,27.4,4,0,0,0,21,2.1,143,0,2.3
Tofu,protein,0.5 cup,94,10,5.9,2.3,0.7,5,0.2,0,434,6.6,150,0,1
Mushrooms,vegetable,1 cup raw,15,2.2,0.2,2.3,0.7,0,2.1,7.4,2,0.3,223,0,0.4
Fortified Cereal,grain,1 serving,110,2,1,24,3,225,27,3.5,200,8.1,55,2.5,3.8
Liver Beef,meat,3 oz cooked,162,24.7,4.5,4.4,0,6582,1.6,1.1,5,5.2,300,59,4.5
Sunflower Seeds,nuts,1 oz,165,5.5,14,6.5,3.1,1,0.4,0,20,1.8,186,0,1.5
Edamame,legume,1 cup,188,18.5,8,13.8,8.1,9,9.5,0,98,3.5,676,0,2.1
Kiwi,fruit,1 medium,42,0.8,0.4,10.1,2.1,2,64,0,24,0.2,215,0,0.1
